Video_id,Views,Likes,Comments
lJ62VhzMb6A,11644,844,95
a6fFVmsvS_k,103625,3928,128
CZgwnCQqTuQ,58539,2211,88
yO0HMNsRlUk,32210,1282,56
3-99EzHQ-yI,11905,540,61
ZhtcfZj-uxA,20239,747,90
tyqdPgRRVmQ,68434,3256,146
kka0Tq9UYI4,9179,517,0
Q13yOXkypQM,7228,450,109
zPLGHeXVm7s,14243,1016,71
mV_d_KejL8s,199121,7936,381
LiErp4-OK6M,9670,806,48
bDKTIFxZHN4,270186,9407,677
91lhgrUOr54,9129,715,47
8ZID5qIunqE,13412,1308,116
DLAI0CAJn6E,316544,12237,261
38CrWLDDQGw,15713,765,101
TSXyTCVQ7h4,16934,1588,114
rTjniRrjKo4,8093,633,122
XIijanuUZuU,79545,3454,199
IQT-so9orgs,31823,1513,79
QgvWzZHM31U,199091,6114,389
i7pfTMb3ht8,32979,1474,239
H06B-VG2i3g,154386,6403,155
jQzAqdvYu8U,23901,1402,208
9vy3tKA9urU,31055,1319,69
16-s5dkOJbo,9225,722,64
7Ugc7SB3IHU,42012,1481,77
Jbf3ZsimXj4,15427,791,70
ipb5n-yXGFY,24970,1499,132
3_33Ox8YNbI,69430,2483,117
Yc6nsNEvjCg,27703,934,65
iLJIKkiryc4,17621,410,77
NrzStz7hiMg,278845,8882,357
lYEJ19G9fck,383409,13065,263
-RM0kSyZwSI,24620,926,79
Yq6L_iTaBXg,57790,2089,126
H9RNPforTx4,50724,2278,724
uHnfaNWJdjw,204812,8744,199
57EjMwJ88s8,71796,2686,155
1qgo5sHn808,14473,1286,131
Nw2b_eWjJuM,20690,702,65
yJhPut6yDII,27071,1318,133
vX4uBocvK1A,29347,1121,67
1wxWJPYVYaA,139116,5920,230
sT0p1Vi4yks,136058,5458,265
oa33mvg_Mgo,54677,2991,806
m0GjQP3wOjY,203792,8559,169
8s98byeLQSs,25060,1158,134
R83NXczgvcA,178013,7357,252
P6PC4OuMzEU,150299,6259,1178
sgOByagnZac,197747,7886,206
XFdvp5yTUr8,85304,2770,138
9F53vF_TV78,756289,32531,822
md7ebyuKs-o,22842,1145,210
h7mafnOO3Yw,46085,1461,98
EID8SZjC2so,16114,1322,142
XwZpzxyHtQ8,115459,5073,314
i9o0vyY4oq4,8296,699,123
lUwgX7XUg4w,2441699,82649,0
bNC7yUU7UDc,17163,1252,91
eprw_SsxGcg,379121,11892,373
IwIzoBnJ3o0,20284,1617,138
Hekj4bhGzHE,67140,2614,284
sKfRsszJ_fg,119664,5034,489
6z1p6MybQMQ,306228,12273,420
GQ4WhIw2VN0,24004,1600,174
QyI4RrXgnLM,8753,1395,579
Dkq9KMlD5yQ,20485,1593,210
hXWgGibt8Gk,6230,478,68
i_-hrB-iBZ0,43672,1942,128
o40moSzVRdM,121394,4811,555
xPk2kqd8QMo,4624,310,0
grMDvhcJk1g,2883,189,52
tive7N3j6H0,149070,6236,188
IvX45J9akj0,322136,13331,312
NaN1WE4TA8o,18424,1090,126
gL4vFe2w64c,136468,5625,260
ouQ_i_HV_bA,22594,1649,162
b1tzERE3owg,114422,4580,167
ruQF-fT1p8I,13005,1874,152
ddYAzD_9D-A,23647,1517,205
PAV2YnatUN8,17501,1482,144
rQ1zHy7Ytts,18572,1331,123
loKgDVm7xGc,239947,8096,633
cm6w2Pm6Szo,15826,1021,181
0gZQrKdinvc,17386,919,126
BGPLhQaZw64,157721,5947,152
E05Aua703PI,54030,2105,277
KxTOKaR0u2g,19863,510,71
pN8P5VBXw0Y,38299,1546,99
bcfdEOAn1UQ,4544,387,63
MXxmPrdSAzQ,69713,3249,117
2n9f4QhKQYk,19044,1146,168
l3Wpr3zAedY,13394,923,112
LaoKalp_mrs,101995,3990,163
ARtRc8wllT8,88312,3027,172
MDcL-ghxn-E,274948,12053,240
GGSdgoQtVfE,195353,8346,221
TUBEkA-lGPU,122713,5521,148
tltAjKa_TVU,305906,11858,220
_RiRbQSKUQg,13477,1078,168
J8Djwc1hysk,103933,5115,89
9ngYXYmcZw8,184060,7687,256
1YkKb5I8daA,47005,2243,350
8D1lcpo8TMQ,259530,10243,314
e1-mD_SFltU,144098,6548,110
P0las-h693Y,8362,934,120
hwm2ZJm8HTk,218474,7687,186
jw6S24nebKE,227388,10715,218
UiZTdGaqqrQ,58679,3448,120
3xeIxMQZCJg,11413,1106,119
OvCUJx-GzbE,124439,3834,221
w9COyGq4Xes,195127,8157,122
w9CD-jR5KbQ,16625,956,118
HGWAm4wXCY4,375539,12451,1709
HCslGzCAA9E,365570,15972,678
i18pBCbr0Gc,169776,7713,148
luR-qD_R4BM,651309,26928,781
k5FzevMwuk0,118204,6335,59
ANBbZqcAnlM,9181,731,59
EpFjmv13qiw,22820,736,67
4-P_0p17sGM,447721,22530,690
pdD2tPaTD8g,183168,8976,88
nUp4l3d56q4,128443,5680,193
AqhhPe14wy0,161331,7349,446
EPB2-j4yIbE,37108,1539,313
Fa_vs3jPa0Q,356074,14034,240
-7Mbdf1l3sg,20018,846,94
kDr1CdPuVXo,856993,67041,915
90eWb2Xw8tU,5762,604,81
DDUhzvzXCHA,749537,30828,1101
wy__F00qMRU,16701,958,228
TLkqE_CWY2E,480647,18632,709
tMOqp1Rqr0E,685216,30713,2566
Bxv5SwwBP50,249287,9914,413
LtTeB7LyHi8,19763,1169,126
5QXwcaS54QY,9435,719,82
aSXWoSvmvNA,146871,7787,259
lrpNTBD1_jE,284841,13699,385
k5XdHE6jr8I,269149,12350,246
5OiyoaPgsus,205245,9442,196
9sKa13D20jA,17394,978,137
TyUVBbsG8ag,623373,23701,2028
kJI5RfwNlCE,173983,6099,330
UP3_xPWuip0,173607,6850,306
OqNcQoJEWNU,194147,8539,294
jAD_kEFrKWo,194551,6776,360
imDpMSynBvs,490143,24056,793
EyL_m9t80mk,8399,1101,282
KHaqyh6xQUk,453042,15887,648
aZTd2rSssTc,11577,709,130
DDxU0HRzeW0,24535,1074,277
1mmJUhH9sAA,200098,9106,356
Xm7BTaLutyE,1068260,39026,1507
4iR54CDCsIQ,274189,15986,457
SSxi7edLBzE,26976,1259,390
qhKd_BnXf_Y,3465,590,295
Kp4vV3twEGc,281038,6604,479
8ZFSKCUngyw,171666,6932,189
mVhzUA4yqww,588487,23355,1155
fuh-SLj3mLc,12247,695,92
YlrRVGGvebE,11575,608,117
iJgNu9Qy6yI,15997,699,96
wM3FutEl3TE,97978,3363,344
vKmjr1boI1o,540858,20275,2767
-zfhWWmG4Fc,68216,2319,91
3vdTudPnFAc,294034,10793,1026
G3SwMkcghSM,196317,9028,397
Q6GUZ_GoRnM,11155,539,143
L_u_bOLd5Tc,130301,5655,150
24S0-Q9DYtg,591686,28264,655
JZuNpb21j0Y,5779,496,103
q-810tv73NI,332049,12794,721
oqFRk0X_xW8,35094,905,88
j0gBi-_zorg,1129325,54803,1692
La_EvMyv1lQ,534900,29667,1277
c-gxFCn6bJk,278660,13468,687
28twcqNpoiw,5733,701,77
P7RzWsfysmw,19580,1454,137
4stUwKuQd2k,23573,1578,324
gM7ahEvmgnc,17018,1678,212
GIzwKJL33_g,1391353,63295,2734
su2LsRRbAfc,6569,840,138
XLHbiiFvXJE,49823,2861,528
FBMRCV0cAFs,103004,5607,1255
DB8IPbUkWkU,61402,2423,123
1DQUl5VCDTA,5167,609,60
zYLmWhH_qQk,295404,10748,253
gXjF9_mO_WM,15983,1553,0
Bu0X1_P_O5k,128628,5282,160
WnZ63HbrRsY,1410225,40323,16546
OGgZcKILsEU,176278,8015,692
yscZuzCasbQ,85656,1643,227
D-lLXUEskTc,14625,1055,103
OR1B-3DTpU0,10452,713,111
p0IiGWOAT_Q,295070,10966,1294
DZFDUsWTfck,253840,11712,153
xcgHnXkiA9k,490378,20862,568
NXb8T626NSo,664915,27146,1896
KC5TaRChRYs,645277,26496,982
DvPkyc4c_30,9855,501,355
TPxMeEqhm9Q,111138,4252,295
XF68x2ny8mg,90394,5009,325
C_juUS7z5aA,11491,1008,252
J-7nDctvFmI,4237,447,178
TN2zv_vSH70,793665,31535,1453
iC5gz2U_6Tw,189896,9897,254
Ec9Df9L6p_M,11930,1101,187
ax8tUSFJ8gM,345297,17688,444
tKwIELih66k,8180,1010,135
Cq37w0w8cJI,14496,598,107
6OvPOF-DCTw,7064,1028,158
jhDDk6OJ6VA,302385,15124,625
3_pScnJ1G60,12280,864,125
h44Wx7nHolU,100655,5004,143
uS8q-Kx6At4,6987,1055,199
DuEpxTnXo3I,160054,6799,409
yezqFyioyWk,39807,2120,217
ociudK7Oovg,275691,12778,869
KT8dTh-9FUc,25037,1913,207
MuarJ54XLm0,314841,16132,299
wR5u9hnEVPs,17101,642,133
lyklfilW_WY,689956,28190,398
J11SpVF2XXA,176545,7367,465
9DpDTkRxcCs,786617,32782,2412
ZXmrGYRfeGE,121420,5107,410
O9d6UtzpSVY,121359,8435,534
XROiXtPB_g4,366999,17132,389
GGxGYjFHu1o,59913,2733,133
tgPkl1gDqxU,20526,978,193
2TcMGKoS71Y,20771,759,116
miu-gy0Modk,122711,5524,159
lU0xBZF8ktU,480187,21241,1133
hrmDJxcthPk,691144,27045,0
AsFErmxt46c,502130,18963,651
o-5JJ4sp-t0,44633,2288,358
OaZQ7w2AcnM,187940,8118,632
2GsTluQkajw,41333,1733,202
ABSIiwzqRj0,249822,10480,526
uiOD7UeoYRk,195499,9190,164
WOTqLTp-Tfw,721986,26885,2141
jgN7nF7UI2Y,767818,36068,677
waIXJzREyw8,1214884,52415,759
PUP6wMu78x8,36451,1631,149
KfLUk4OgWT4,14121,1262,160
mE6_YVkTDr0,1012022,39519,2176
ppCUb9Mnn4I,240220,14070,675
Lds4rB1V7ww,32210,1383,195
VN1FekNwaak,7408,941,216
LN7AKwg-_qc,137689,7234,308
4R73m1_QG_0,188174,4273,208
-LT4pGt2acE,350860,17748,543
nlXRgOV3c8U,115634,6471,146
o2SJ5pUp_00,521971,31962,2672
Mg6Dym-bza8,83694,5700,326
mFszQZAke7o,841292,36272,1046
c2kSJceGTwE,132299,6731,859
Z3iiXXIRicc,82137,3599,379
1JF2DIJwhN8,537843,29076,895
xOyC50CMdi8,270632,16944,492
jYn6NPgDiX0,25928,1337,93
aIOKZ0rFzS4,743536,29176,608
OTfI_h9ONUo,65585,2441,93
DCT9jRSAwfs,708101,30815,815
_l6FhoqqjLw,136658,5440,380
XNQyt_Zj3bY,44868,2807,155
DINAMFileSE,755599,40732,1427
XMjkSaMJqfY,7440,797,137
r9aJHp5t_is,136335,5118,735
a0ndXBGjqCU,673383,27062,437
Bei45OrIDns,244744,13378,641
j6dy4VrsFvA,6756124,362161,14346
Oi-963mwzR8,42063,2240,609
_QYNtg46JJ0,148367,4126,282
iHz6VwRHu-k,125754,5845,1080
IfTsMZpH_tA,2090578,88353,2196
amR4jBSPtn8,1116997,52692,0
wU0csUpmjfs,9289,1034,198
6Bt2mBQkVpA,329119,11862,386
d31QinXPpc8,181244,8436,309
EP2oefn05eY,455848,16128,392
72ddxNh47J8,304728,12896,340
GRIxEgfj7s4,110797,6052,225
excWklaEb_E,562287,27021,1783
M9PiRFGbsCs,2293328,103943,0
dSvQnPtKiVg,7799343,526893,32114
gT2Eq2mb44g,312768,8702,396
f5p3qZB8DYk,680723,27608,2020
s0j-YMlMwJU,166844,8747,484
XDVjoRGAr14,292645,16614,637
M6x1eydsMCs,298183,12621,316
GX2qKdb5ATE,676467,28743,800
PpZW2MWvL7Q,348257,14748,567
H5It7WL5WMA,1250394,79716,3525
kyB-Pa-FIQw,238781,10369,1019
esFA9XaM08g,1074357,48218,2660
g-2p87-lVtk,115998,7439,432
n-z62Hux6zU,1160522,42731,3076
RJcmnD0ZZ1Y,340810,14852,274
dO7kxMvd5a4,730669,37565,1768
cxkbBTSCTws,50149,2708,135
YHb-xGxV2Lw,910320,48002,1502
b31jJ7BKjAE,321278,11620,665
8V47faeYjQk,160110,8943,187
cFVKlZezMc0,2159904,101846,5467
h1r_vU6ISKo,146371,4944,245
JBs07Iik6DQ,656787,33351,743
LNLvMo1PWok,3799919,183607,7086
5P_Gx4PP2hw,251634,12943,535
dV5-Vsc74Pw,103141,5939,341
cTXWS7yQ5C8,266224,13358,261
pUvvDTXpFWY,3020,382,102
IPepFx9euZE,181613,7868,290
tfL0zxt1tgc,406834,21407,3093
uHSQvRho_jo,133761,7145,246
6Htl37kjs3k,217733,8853,362
DAEYd8Z4S68,6885,256,60
3RKjclErNMo,865805,37911,1893
Xe3ijQG5mtQ,482817,21775,1146
sYkkBiwi_bw,59565,2373,199
QHG0RAps9fk,20658,905,185
DbzVhSYPxQc,61012,2479,100
Lt5zzA2OqDc,25086,1155,164
UbGevL3sp6U,539430,19777,2325
5ulxKU0It6w,586405,27609,768
lPjBRuqcea4,309421,16534,1209
S96R5Sm4clE,439535,18529,826
JJ1a-NN0PCw,122212,4959,131
Y_kYwkjub2I,423626,14274,0
RoMwM8BzFUo,200336,7676,468
TToR1RqcgrU,792025,34524,1834
cgUlxr3E82Q,289874,11770,943
FeEE5sJaUdM,1111289,62546,7486
HMXNA3rbE4c,199181,7632,151
K-1bOfXjII0,2684805,106596,7652
1RJUUjdudFo,45895,2210,64
d2q-i6yfp-s,99503,4343,217
rDDC98e0ujw,509845,26617,1109
E0G_tI9hnjc,293882,14796,337
jTbY7FDCp3k,248325,15874,3432
gQmFpa7OAJo,411081,25464,1156
DuAmuq8p70k,208626,11332,1297
v-FQNW9nHSM,214175,12954,2131
EMAoOklEA5w,477937,19515,2026
0IST1fdMnDA,179525,5947,222
cTfRpRD5xUg,1305289,41950,4216
rKNJfEkR-aw,293840,15308,445
2mde7Aoi1kY,61279,2679,51
vZbWQBsg-8c,377030,17788,486
8iHaegUgUK8,157651,6918,217
WNG0UkUSoWY,3578554,172707,7049
3sJwHnMuPr0,551543,28732,540
gSipYADsho8,2140,190,23
D-E_A04ReTE,2823278,132647,3974
HsuZLQvmqFY,151024,6659,214
GgqIUBwyQm4,786672,37126,832
hMmPidxIDiw,2235099,123364,6719
iluGYwtXsuU,45979,1960,44
