Channel_id,Created_at,Channel_name,Custom_url,Subscribers,Views,Total_Videos,Playlist_id,Channel_age_years,Index_Performance,Index_Performance_log10
UCw1x5GDOQsQ9yVrpTrKYxHg,2015-02-25 21:13:29+00:00,Praticando Matemática com Maicon Meneguci,@praticandomatematica,324000,20160956,2381,UUw1x5GDOQsQ9yVrpTrKYxHg,10.89,3.0477586556960405,0.48398057334691447
UCwnv0WmFneTIW76wULgFlcQ,2012-02-22 17:32:14+00:00,Toda a Matemática,@todaamatematica,288000,19491572,2995,UUwnv0WmFneTIW76wULgFlcQ,13.89,4.202189109350397,0.6234755928817649
UC_UB3VlNDytQccGOa8tGljQ,2019-03-27 20:38:31+00:00,Matemática com Alê,@matematicacomale,276000,15028907,738,UU_UB3VlNDytQccGOa8tGljQ,6.8,0.37457511349566186,-0.42646108021903095
UCzs574vJvpTNc4Z9vaN5Wmg,2013-09-20 17:39:33+00:00,Portal da Matemática OBMEP,@portalmatematicaobmep,211000,26489565,6590,UUzs574vJvpTNc4Z9vaN5Wmg,12.32,8.165646416492393,0.9119905704570663
UCUsDa4Eo6ow-2fJfXReXfLQ,2014-08-20 00:20:17+00:00,Help Engenharia com Prof. Dênis Rodrigues,@helpengenharia,209000,6496566,853,UUUsDa4Eo6ow-2fJfXReXfLQ,11.41,0.23779459705776107,-0.6237980172306044
UC2ARrBxwEFyXhk-rkdrZx2w,2016-02-24 20:53:29+00:00,Professor Heraldo - Matemática,@profheraldo,208000,4278742,481,UU2ARrBxwEFyXhk-rkdrZx2w,9.89,0.07618298220662613,-1.1181420307492174
UC_2Pl-hyJkGrLz9NCAq2Knw,2016-03-18 14:16:37+00:00,Matematica Genial,@matematicagenial,196000,14733491,219,UU_2Pl-hyJkGrLz9NCAq2Knw,9.83,0.1118655938177359,-0.9513034676518389
UC1-Ym9T_Yn5y1sfPxppqKlQ,2014-09-16 23:40:40+00:00,Somatize - Profª Edna - Matemática,@somatizeednamendes,196000,22824807,2373,UU1-Ym9T_Yn5y1sfPxppqKlQ,11.33,2.1643525271636004,0.3353279995642794
UCyjCLZQIlXl1qTAJyUaPVTg,2017-11-13 19:52:57+00:00,Matemática - Prof Reginaldo Moraes,@profreginaldomoraes,182000,36832344,977,UUyjCLZQIlXl1qTAJyUaPVTg,8.17,0.9628409052484758,-0.016445467476435504
UCido3v0CxXHg_vBAgpGHgkA,2020-04-10 20:44:31.608606+00:00,Planeta Matemática,@planetamatematica,181000,161034943,10332,UUido3v0CxXHg_vBAgpGHgkA,5.76,31.213519879959474,1.4943427458600798
UCN0XT4R0FZbFhVAHILYujxQ,2011-12-21 04:18:16+00:00,ProfessorVandeir,@professorvandeir,126000,20424667,1454,UUN0XT4R0FZbFhVAHILYujxQ,14.07,0.947373428907064,-0.02347880014518066
UCMYJXszXk5zlKgczRU_nZZA,2017-10-24 19:59:52+00:00,Eureka Matemática,@eurekamatematica,116000,8584009,393,UUMYJXszXk5zlKgczRU_nZZA,8.22,0.05788282082750848,-1.2374503123842038
UCfDiNXDO5eb_Z3ew-dFhwHQ,2020-07-24 21:47:21.894609+00:00,Matemática Mastigada,@matematicamastigada,98300,7084823,1929,UUfDiNXDO5eb_Z3ew-dFhwHQ,5.48,0.13247455669237132,-0.8778675251171169
UCTVEAGIOrVsmq0mOWwvB_Og,2020-12-21 13:04:16.392596+00:00,Apol Matemática,@apol,98100,12671805,2836,UUTVEAGIOrVsmq0mOWwvB_Og,5.07,0.32163169580439943,-0.4926411594426676
UCVngl-zszbWdMcRht9GVrnQ,2022-01-02 17:54:48.058740+00:00,Principia Matemática,@principia_matematica,97700,3188873,233,UUVngl-zszbWdMcRht9GVrnQ,4.03,0.005264170176922574,-2.278670079556753
UCh5Vx4qBR2my3iryuYY2JKg,2022-06-07 19:34:45.758192+00:00,Matemática Jovem,@matematicajovem,69500,7588671,180,UUh5Vx4qBR2my3iryuYY2JKg,3.61,0.006166907049146421,-2.2099325974383004
UCh4wFjGWkFR6LpCfgXZv1eg,2020-03-08 17:25:30.177152+00:00,Professora Noemi Matemática,professoranoemimatematica,66100,9591379,424,UUh4wFjGWkFR6LpCfgXZv1eg,5.85,0.02829706553819923,-1.5482585993394948
